"target_rps","measured_requests","ok_requests","error_free_pct","ttft_lt_1s_pct","ttft_lt_5s_pct","e2e_lt_15s_pct","e2e_lt_30s_pct","tpot_lt_25ms_pct"
"0.25","30","30","100","100","100","100","100","100"
"0.5","60","60","100","100","100","100","100","100"
"0.75","90","90","100","100","100","100","100","100"
"1","120","120","100","100","100","100","100","100"
"1.25","150","150","100","100","100","100","100","100"
"1.5","180","180","100","100","100","100","100","100"
"2","240","240","100","100","100","100","100","100"
"3","240","240","100","100","100","100","100","100"
"4","240","240","100","100","100","100","100","100"
"5","240","240","100","100","100","100","100","100"
"6","240","240","100","40.42","100","81.25","100","98.33"
"8","240","240","100","26.67","53.33","32.5","100","100"
"10","240","240","100","26.67","31.67","26.67","100","100"
