level,rps,max_inflight,p95_ttft_ms,p95_e2e_ms,client_output_tps,error_rate
0.25rps,0.247,1,575,2874,119.3133,0
0.5rps,0.4929,2,541,3061,241.6311,0
0.75rps,0.7394,3,594,3516,358.3159,0
1rps,0.8976,5,591,3983,440.1269,0
1.25rps,1.1218,6,548,4632,546.6382,0
1.5rps,1.349,8,533,5024,658.7976,0
2rps,1.7979,13,533,6111,880.6661,0
3rps,2.8059,27,583,8731,1420.0035,0
4rps,3.2665,42,600,10389,1666.7619,0
5rps,3.9044,61,646,12119,1992.0122,0
6rps,3.7836,93,5466,16121,1930.854,0
8rps,4.3238,133,12219,21588,2203.4698,0
10rps,4.3194,169,17306,26761,2205.2985,0
