level,beforeAt,afterAt,elapsedSeconds,requestGenerationTokensDelta,requestGenerationTokensPerSecond,requestPromptTokensDelta,requestPromptTokensPerSecond,requestCountDelta,avgServerTtftSeconds,avgServerE2eSeconds,avgServerInterTokenLatencySeconds,maxRequestsRunning,maxRequestsWaiting,maxKvCacheUsagePerc,maxGpuUtilizationPerc,maxGpuPowerWatts,maxGpuMemoryUsedMiB,maxNvidiaSmiThrottleActive
0.25rps,2026-06-03T19:08:04.352Z,2026-06-03T19:10:17.309Z,132.957,15872,119.3769,3565,26.8132,31,0.107,2.1955,0.0041,1,0,0.0005,100,536.358,178242,0
0.5rps,2026-06-03T19:11:28.811Z,2026-06-03T19:13:42.008Z,133.197,28672,215.2601,6440,48.3494,56,0.054,2.226,0.0043,1,0,0.0005,100,588.84,178242,0
0.75rps,2026-06-03T19:14:53.765Z,2026-06-03T19:17:07.213Z,133.448,44032,329.9562,9890,74.1113,86,0.0583,2.6634,0.0051,3,0,0.0016,100,592.808,178242,0
1rps,2026-06-03T19:18:18.970Z,2026-06-03T19:20:44.388Z,145.418,61440,422.5062,13800,94.8988,120,0.0603,3.4,0.0065,4,0,0.0022,100,635.47,178242,0
1.25rps,2026-06-03T19:21:56.135Z,2026-06-03T19:24:21.562Z,145.427,76800,528.1,17250,118.6162,150,0.0551,3.9628,0.0076,6,0,0.0033,100,660.004,178242,0
1.5rps,2026-06-03T19:25:33.285Z,2026-06-03T19:27:58.412Z,145.127,92160,635.03,20700,142.6337,180,0.0566,4.3905,0.0085,7,0,0.0038,100,689.025,178242,0
2rps,2026-06-03T19:29:09.857Z,2026-06-03T19:31:34.779Z,144.922,122880,847.9044,27600,190.4473,240,0.0602,5.4917,0.0106,11,0,0.006,100,711.307,178242,0
3rps,2026-06-03T19:32:46.213Z,2026-06-03T19:34:23.183Z,96.97,111104,1145.7564,24955,257.3476,217,0.0847,7.8854,0.0153,24,0,0.0131,100,648.508,178242,0
4rps,2026-06-03T19:35:34.584Z,2026-06-03T19:36:59.555Z,84.971,122880,1446.1404,24150,284.2146,240,0.0884,9.341,0.0181,40,0,0.0218,100,720.824,178242,0
5rps,2026-06-03T19:38:11.052Z,2026-06-03T19:39:23.972Z,72.92,122880,1685.1344,27600,378.497,240,0.095,10.7343,0.0208,58,0,0.0317,100,688.452,178242,0
6rps,2026-06-03T19:40:35.414Z,2026-06-03T19:41:50.280Z,74.866,122880,1641.3325,27600,368.6587,240,1.9476,13.4879,0.0226,64,19,0.035,97.5,627.939,178242,0
8rps,2026-06-03T19:43:01.735Z,2026-06-03T19:44:08.723Z,66.988,122880,1834.3584,27600,412.0141,240,5.1737,16.4092,0.022,64,41,0.035,100,680.867,178242,0
10rps,2026-06-03T19:45:20.166Z,2026-06-03T19:46:27.167Z,67.001,102912,1535.9771,23115,344.9949,201,7.606,18.9514,0.0222,64,58,0.035,100,699.588,178242,0
